"","Model","p0","aggregation","0","0.3","0.67","1"
"33","SPIM: sexcollarcoat","0.05","10","-0.31-0.18 ; -0.07 (0.09)","-0.34-0.16 ; -0.08 (0.09)","-0.41-0.21 ; -0.08 (0.12)","-0.57-0.29 ; -0.05 (0.18)"
"34","SPIM: sexcollarcoat","0.2","1","-0.22-0.25 ; -0.01 (0.08)",NA,NA,NA
"35","SPIM: sexcollarcoat","0.2","4","-0.19-0.14 ; -0.04 (0.07)","-0.24-0.22 ; -0.04 (0.08)","-0.32-0.2 ; -0.05 (0.09)","-0.31-0.2 ; -0.05 (0.11)"
"36","SPIM: sexcollarcoat","0.2","10","-0.25-0.31 ; -0.06 (0.09)","-0.22-0.37 ; -0.05 (0.1)","-0.32-0.29 ; -0.09 (0.11)","-0.45-0.29 ; -0.1 (0.17)"
"37","SPIM: antlerssexcollarcoat","0.05","1","-0.28-0.15 ; -0.04 (0.09)",NA,NA,NA
"38","SPIM: antlerssexcollarcoat","0.05","4","-0.35-0.21 ; -0.05 (0.1)","-0.22-0.21 ; -0.05 (0.09)","-0.37-0.37 ; -0.04 (0.14)","-0.42-0.43 ; -0.04 (0.18)"
"39","SPIM: antlerssexcollarcoat","0.05","10","-0.25-0.18 ; -0.05 (0.09)","-0.34-0.29 ; -0.05 (0.1)","-0.39-0.25 ; -0.06 (0.13)","-0.66-0.59 ; -0.07 (0.22)"
"40","SPIM: antlerssexcollarcoat","0.2","1","-0.12-0.18 ; -0.02 (0.05)",NA,NA,NA
"41","SPIM: antlerssexcollarcoat","0.2","4","-0.15-0.1 ; -0.02 (0.05)","-0.18-0.12 ; -0.02 (0.06)","-0.21-0.15 ; -0.02 (0.07)","-0.25-0.18 ; -0.04 (0.1)"
"42","SPIM: antlerssexcollarcoat","0.2","10","-0.14-0.1 ; -0.03 (0.05)","-0.14-0.15 ; -0.03 (0.05)","-0.31-0.2 ; -0.04 (0.1)","-0.43-0.35 ; -0.04 (0.15)"
