"","cohesion","aggregation","p0","param","coverage","Model"
"104","1",4,"0.2","sigma",0.86,"SPIM: sexcollar"
"105","1",10,"0.05","N",0.3,"SPIM: sexcollar"
"106","1",10,"0.05","sigma",0.83,"SPIM: sexcollar"
"107","1",10,"0.2","N",0.15,"SPIM: sexcollar"
"108","1",10,"0.2","sigma",0.61,"SPIM: sexcollar"
"109","0",1,"0.05","N",0.94,"SPIM: sexcoat"
"110","0",1,"0.05","sigma",0.95,"SPIM: sexcoat"
"111","0",1,"0.2","N",0.84,"SPIM: sexcoat"
"112","0",1,"0.2","sigma",0.93,"SPIM: sexcoat"
"113","0",4,"0.05","N",0.89,"SPIM: sexcoat"
"114","0",4,"0.05","sigma",0.96,"SPIM: sexcoat"
"115","0",10,"0.05","N",0.84,"SPIM: sexcoat"
"116","0",10,"0.05","sigma",0.97,"SPIM: sexcoat"
"117","0",10,"0.2","N",0.66,"SPIM: sexcoat"
"118","0",10,"0.2","sigma",0.75,"SPIM: sexcoat"
"119","0.3",4,"0.05","N",0.95,"SPIM: sexcoat"
"120","0.3",4,"0.05","sigma",0.98,"SPIM: sexcoat"
"121","0.3",4,"0.2","N",0.71,"SPIM: sexcoat"
"122","0.3",4,"0.2","sigma",0.87,"SPIM: sexcoat"
"123","0.3",10,"0.05","N",0.86,"SPIM: sexcoat"
"124","0.3",10,"0.05","sigma",0.96,"SPIM: sexcoat"
"125","0.3",10,"0.2","N",0.68,"SPIM: sexcoat"
"126","0.3",10,"0.2","sigma",0.82,"SPIM: sexcoat"
"127","0.67",4,"0.05","N",0.85,"SPIM: sexcoat"
"128","0.67",4,"0.05","sigma",0.95,"SPIM: sexcoat"
"129","0.67",4,"0.2","N",0.5,"SPIM: sexcoat"
"130","0.67",4,"0.2","sigma",0.84,"SPIM: sexcoat"
"131","0.67",10,"0.05","N",0.73,"SPIM: sexcoat"
"132","0.67",10,"0.05","sigma",0.88,"SPIM: sexcoat"
"133","0.67",10,"0.2","N",0.45,"SPIM: sexcoat"
"134","0.67",10,"0.2","sigma",0.62,"SPIM: sexcoat"
"135","1",4,"0.05","N",0.74,"SPIM: sexcoat"
"136","1",4,"0.05","sigma",0.95,"SPIM: sexcoat"
"137","1",4,"0.2","N",0.4,"SPIM: sexcoat"
"138","1",4,"0.2","sigma",0.78,"SPIM: sexcoat"
"139","1",10,"0.05","N",0.42,"SPIM: sexcoat"
"140","1",10,"0.05","sigma",0.83,"SPIM: sexcoat"
"141","1",10,"0.2","N",0.22,"SPIM: sexcoat"
"142","1",10,"0.2","sigma",0.57,"SPIM: sexcoat"
"143","0",1,"0.05","N",0.85,"SPIM: sexcollarcoat"
"144","0",1,"0.05","sigma",0.87,"SPIM: sexcollarcoat"
"145","0",1,"0.2","N",0.84,"SPIM: sexcollarcoat"
"146","0",1,"0.2","sigma",0.94,"SPIM: sexcollarcoat"
"147","0",4,"0.05","N",0.89,"SPIM: sexcollarcoat"
"148","0",4,"0.05","sigma",0.95,"SPIM: sexcollarcoat"
"149","0",4,"0.2","N",0.8,"SPIM: sexcollarcoat"
"150","0",4,"0.2","sigma",0.91,"SPIM: sexcollarcoat"
"151","0",10,"0.05","N",0.83,"SPIM: sexcollarcoat"
"152","0",10,"0.05","sigma",0.94,"SPIM: sexcollarcoat"
"153","0",10,"0.2","N",0.72,"SPIM: sexcollarcoat"
"154","0",10,"0.2","sigma",0.79,"SPIM: sexcollarcoat"
"155","0.3",4,"0.05","N",0.95,"SPIM: sexcollarcoat"
"156","0.3",4,"0.05","sigma",0.98,"SPIM: sexcollarcoat"
"157","0.3",4,"0.2","N",0.81,"SPIM: sexcollarcoat"
"158","0.3",4,"0.2","sigma",0.9,"SPIM: sexcollarcoat"
"159","0.3",10,"0.05","N",0.86,"SPIM: sexcollarcoat"
"160","0.3",10,"0.05","sigma",0.95,"SPIM: sexcollarcoat"
"161","0.3",10,"0.2","N",0.67,"SPIM: sexcollarcoat"
"162","0.3",10,"0.2","sigma",0.8,"SPIM: sexcollarcoat"
"163","0.67",4,"0.05","N",0.86,"SPIM: sexcollarcoat"
"164","0.67",4,"0.05","sigma",0.95,"SPIM: sexcollarcoat"
"165","0.67",4,"0.2","N",0.67,"SPIM: sexcollarcoat"
"166","0.67",4,"0.2","sigma",0.9,"SPIM: sexcollarcoat"
"167","0.67",10,"0.05","N",0.66,"SPIM: sexcollarcoat"
"168","0.67",10,"0.05","sigma",0.89,"SPIM: sexcollarcoat"
"169","0.67",10,"0.2","N",0.5,"SPIM: sexcollarcoat"
"170","0.67",10,"0.2","sigma",0.66,"SPIM: sexcollarcoat"
"171","1",4,"0.05","N",0.74,"SPIM: sexcollarcoat"
"172","1",4,"0.05","sigma",0.86,"SPIM: sexcollarcoat"
