"","Model","p0","aggregation","0","0.3","0.67","1"
"33","SPIM: sexcollarcoat","0.05","10","-0.68-1.18 ; -0.02 (0.4)","-0.77-1.11 ; 0.11 (0.4)","-0.45-1.35 ; 0.53 (0.49)","-0.76-1.52 ; 0.73 (0.63)"
"34","SPIM: sexcollarcoat","0.2","1","-0.13-1.12 ; 0.26 (0.25)",NA,NA,NA
"35","SPIM: sexcollarcoat","0.2","4","-0.43-0.93 ; 0.19 (0.28)","-0.26-1.06 ; 0.21 (0.26)","-0.13-1.41 ; 0.35 (0.32)","-0.24-1.37 ; 0.51 (0.38)"
"36","SPIM: sexcollarcoat","0.2","10","-0.61-1.24 ; 0.05 (0.33)","-0.52-0.68 ; 0.02 (0.31)","-0.5-1.66 ; 0.41 (0.44)","-0.55-2.96 ; 0.84 (0.75)"
"37","SPIM: antlerssexcollarcoat","0.05","1","-0.29-1.03 ; 0.17 (0.28)",NA,NA,NA
"38","SPIM: antlerssexcollarcoat","0.05","4","-0.54-1.03 ; 0.23 (0.32)","-0.4-0.94 ; 0.17 (0.29)","-0.34-1.1 ; 0.26 (0.36)","-0.55-1.38 ; 0.23 (0.51)"
"39","SPIM: antlerssexcollarcoat","0.05","10","-0.73-1.26 ; 0.19 (0.37)","-0.55-1.12 ; 0.17 (0.37)","-0.69-2 ; 0.43 (0.56)","-0.81-2.73 ; 0.5 (0.84)"
"40","SPIM: antlerssexcollarcoat","0.2","1","-0.2-0.25 ; 0.02 (0.1)",NA,NA,NA
"41","SPIM: antlerssexcollarcoat","0.2","4","-0.29-0.34 ; 0.04 (0.14)","-0.26-0.37 ; 0.04 (0.13)","-0.28-0.42 ; 0.06 (0.13)","-0.36-0.62 ; 0.06 (0.2)"
"42","SPIM: antlerssexcollarcoat","0.2","10","-0.38-0.49 ; 0.04 (0.2)","-0.37-0.4 ; 0.02 (0.18)","-0.44-0.54 ; 0.03 (0.22)","-0.67-1.47 ; 0.03 (0.34)"
